coral.id,reef.zone
P1,Patch
P2,Patch
P3,Patch
P4,Patch
P5,Patch
P6,Patch
P7,Patch
P8,Patch
P9,Patch
P10,Patch
P11,Patch
P12,Patch
P13,Patch
P14,Patch
P15,Patch
P16,Patch
P17,Patch
P18,Patch
P19,Patch
P20,Patch
R1,Rim
R2,Rim
R3,Rim
R4,Rim
R5,Rim
R6,Rim
R7,Rim
R8,Rim
R9,Rim
R10,Rim
R11,Rim
R12,Rim
R13,Rim
R14,Rim
R15,Rim
R16,Rim
R17,Rim
R18,Rim
R19,Rim
R20,Rim
